Client,Cradle-to-Grave Addition,Product,Product Stage,Scope,Impact Category,Step,Default Item,Emissions (kg CO2e),Plastic (kg),Water (m3),Amount of input assessed,Unit,
Neo Bites,Cradle-to-Grave,Topper (Health),Disposal,3,Direct Combustion,Shipping bag MSW landfill of mixed plastics,MSW landfilling of Mixed Plastics- shipping bag,0.00021,0,0,0.01133,kg,
Neo Bites,,Topper (Skin),Raw Material,3,Direct Combustion,Black soldier fly meal,Black Soldier Fly Meal (defatted protein concentrate)- Custom data W2R - NL,0.47172,0,0.00025,0.089,kg,
Neo Bites,,Topper (Skin),Raw Material,3,Direct Combustion,Black soldier fly transportation,Skin-BlackSoldierFly-Transportation,0.00826,0,0,0.089*823,kgkm,
Neo Bites,,Topper (Skin),Raw Material,3,Direct Combustion,Cricket,Cricket Powder,0.08931,0,0,0.039,km,
Neo Bites,,Topper (Skin),Raw Material,3,Direct Combustion,Cricket transportation,Skin-Cricket-Transportation,0.45835,0,0,1.826,km,
Neo Bites,,Topper (Skin),Raw Material,3,Direct Combustion,Flaxseed,"Flaxseed grain dried, stored and transported, processing - FR",0.08406,0,0.00055,0.124,kg,
Neo Bites,,Topper (Skin),Raw Material,3,Direct Combustion,Flaxseed transportation,Skin-Flaxseed-Transport,0.03741,0,0,0.124*2677,kgkm,
Neo Bites,,Topper (Skin),Raw Material,3,Direct Combustion,Peanut,"Peanut, consumption mix - FR",0.21143,0,0.02013,0.103,kg,
Neo Bites,,Topper (Skin),Raw Material,3,Direct Combustion,Milling process for peanuts,"Global milling process; soft wheat, steel-roller-milled, industrial production; French production mix, at plant; 1 kg bulk flour at the exit gate (PDi) - RER",0.04596,0,0.00063,0.103,kg,
Neo Bites,,Topper (Skin),Raw Material,3,Direct Combustion,Peanut flour transport,Skin-PeanutFlour-Transport,0.0321,0,0,0.103*2765,kgkm,
Neo Bites,Cradle-to-Grave,Topper (Skin),Distribution,3,Direct Combustion,"Transport, by truck","Transport, by truck",0.0694,0,0,615.7635,kgkm,
Neo Bites,,Topper (Skin),Packaging,3,Direct Combustion,"Product bag, mixed plastics with 100% recycled inputs","Product manufacturing, from Mixed Plastics, using 100% recycled inputs - US- product bag",0.00756,0.00756,0,0.00925,kg,
Neo Bites,,Topper (Skin),Packaging,3,Direct Combustion,"Shipping bag, mixed plastics with 100% recycled inputs","Product manufacturing, from Mixed Plastics, using 100% recycled inputs - US- shipping bag",0.00927,0.00927,0,0.01133,kg,
Neo Bites,,Topper (Skin),Packaging,3,Direct Combustion,"Spoon, HDPE, using 100% virgin inputs","Product manufacturing, from HDPE, using 100% virgin inputs - US- spoon",0.00331,0.00331,0,0.0019,kg,
Neo Bites,,Topper (Skin),Manufacturing,2,Direct Combustion,Electricity,"market for electricity, medium voltage - TRE",0.0061,0,0.000016232,0.00833,kwh,
Neo Bites,Cradle-to-Grave,Topper (Skin),Disposal,3,Direct Combustion,Spoon MSW recycling of HPDE,MSW recycling of HDPE - US- spoon,0.00168,0,0,0.0019,kg,
Neo Bites,Cradle-to-Grave,Topper (Skin),Disposal,3,Direct Combustion,Product bag MSW landfill of mixed plastics,MSW landfilling of Mixed Plastics- product bag,0.00017,0,0,0.00925,kg,
Neo Bites,Cradle-to-Grave,Topper (Skin),Disposal,3,Direct Combustion,Shipping bag MSW landfill of mixed plastics,MSW landfilling of Mixed Plastics- shipping bag,0.00021,0,0,0.01133,kg,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Black soldier fly meal,Black Soldier Fly Meal (defatted protein concentrate)- Custom data W2R - NL,0.50882,0,0.00027,0.096,kg,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Black soldier fly transportation,Digestive- Black Soldier Fly- Transportation,0.0089,0,0,0.096*823,kgkm,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Cricket,Cricket Powder,0.04809,0,0,0.021,kg,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Cricket transportation,Digestive- Cricket- Transportation,0.24631,0,0,0.98,km,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Oats,oats; at harvest; at farm; wet basis - US-KS,0.03192,0,0.00017,0.117,kg,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Oats transportation,Digestive- Oats- Transportation,0.0206,0,0,1562*0.117,kgkm,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Apple,"Apple, dried, consumption mix - FR",0.01947,0,0.00519,0.021,kg,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Apple transportation,Digestive- Apple- Transportation,0.00795,0,0,0.021*3357,kgkm,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Pumpkin,"Pumpkin, consumption mix - FR",0.01858,0,0.00535,0.096,kg,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Pumpkin transportation,Digestive- Pumpkin- Transportation,0.04482,0,0,"0.096*3316 for truck, 0.096*10660 for ship",kgkm,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Ginger,"Ginger, consumption mix - FR",0.00137,0,0.00015,0.03,kg,
Neo Bites,,Topper (Digestive),Raw Material,3,Direct Combustion,Ginger transportation,Digestive- Ginger- Transportation,0.0014,0,0,"0.003*3316 for truck, 0.003*10660 for ship",kgkm,
Neo Bites,Cradle-to-Grave,Topper (Digestive),Distribution,3,Direct Combustion,"Transport, by truck","Transport, by truck",0.06877,0,0,610.166,kgkm,
Neo Bites,,Topper (Digestive),Packaging,3,Direct Combustion,"Product bag, mixed plastics with 100% recycled inputs","Product manufacturing, from Mixed Plastics, using 100% recycled inputs - US- product bag",0.00756,0.00756,0,0.00925,kg,
Neo Bites,,Topper (Digestive),Packaging,3,Direct Combustion,"Shipping bag, mixed plastics with 100% recycled inputs","Product manufacturing, from Mixed Plastics, using 100% recycled inputs - US- shipping bag",0.00927,0.00927,0,0.01133,kg,
Neo Bites,,Topper (Digestive),Packaging,3,Direct Combustion,"Spoon, HDPE, using 100% virgin inputs","Product manufacturing, from HDPE, using 100% virgin inputs - US- spoon",0.00331,0.00331,0,0.0019,kg,
Neo Bites,,Topper (Digestive),Manufacturing,2,Direct Combustion,Electricity,"market for electricity, medium voltage - TRE",0.0061,0,0.000016232,0.00833,kwh,
Neo Bites,Cradle-to-Grave,Topper (Digestive),Disposal,3,Direct Combustion,Spoon MSW recycling of HPDE,MSW recycling of HDPE - US- spoon,0.00168,0,0,0.0019,kg,
Neo Bites,Cradle-to-Grave,Topper (Digestive),Disposal,3,Direct Combustion,Product bag MSW landfill of mixed plastics,MSW landfilling of Mixed Plastics- product bag,0.00017,0,0,0.00925,kg,
Neo Bites,Cradle-to-Grave,Topper (Digestive),Disposal,3,Direct Combustion,Shipping bag MSW landfill of mixed plastics,MSW landfilling of Mixed Plastics- shipping bag,0.00021,0,0,0.01133,kg,
SpaceStation,,October,JW,,,Virtual,,15.59,,,,,
SpaceStation,,October,JW,,,Home,,48.97,,,,,
SpaceStation,,October,JW,,,Coffee Cup Waste,,0.02,,,,,
SpaceStation,,October,JW,,,Lunch Waste,,0.66,,,,,
SpaceStation,,October,KW,,,Virtual,,7.80,,,,,
SpaceStation,,October,KW,,,Home,,11.05,,,,,
SpaceStation,,October,KW,,,Coffee Cup Waste,,0.00,,,,,
SpaceStation,,October,KW,,,Lunch Waste,,0.00,,,,,
SpaceStation,,October,CJ,,,Virtual,,7.80,,,,,
SpaceStation,,October,CJ,,,Home,,8.84,,,,,
SpaceStation,,October,CJ,,,Coffee Cup Waste,,0.00,,,,,
SpaceStation,,October,CJ,,,Lunch Waste,,0.00,,,,,
